full_name,abbr_name,erc20_contract
EOS,EOS,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0
Tronix,TRX,0xf230b790e05390fc8295f4d3f60332c93bed42e2
VeChain,VEN,0xd850942ef8811f2a866692a623011bde52a462c1
BNB,BNB,0xb8c77482e45f1f44de1745f52c74426c631bdd52
OmiseGO,OMG,0xd26114cd6ee289accf82350c8d8487fedb8a0c07
ICON,ICX,0xb5a5f22694352c15b00323844ad545abb2b11028
Zilliqa,ZIL,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
Aeternity,AE,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d
ZRX,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498
Bytom,BTM,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750
Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
Golem,GNT,0xa74476443119a942de498590fe1f2454d7d4ac0d
RHOC,RHOC,0x168296bb09e24a88805cb9c33356536b980d3fc5
REP,REP,0xe94327d07fc17907b4db788e5adf2ed424addff6
Populous,PPT,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a
Walton,WTC,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74
IOSToken,IOST,0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab
StatusNetwork,SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e
Nebulas,NAS,0x5d65d971895edc438f465c17db6992698a52318d
AION,AION,0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466
DGD,DGD,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a
Loopring,LRC,0xef68e7c694f40c8202821edf525de3782458639f
HuobiToken,HT,0x6f259637dcd74c767781e37bc6133cd6a68aa161
BAT,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef
ELF,ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e
CyberMiles,CMT,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f
Bancor,BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c
Dentacoin,Dentacoin,0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6
Loom,LOOM,0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0
KyberNetwork,KNC,0xdd974d5c2e2928dea5f71b9825b8b646686bd200
Cortex Coin,CTXC,0xea11755ae41d889ceec39a63e6ff75a02bc1c00d
Polymath,POLY,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec
Ethos,ETHOS,0x5af2be193a6abca9c8817001f45744777db30756
QASH,QASH,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6
Veritaseum,VERI,0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374
FunFair,FUN,0x419d0d8bdd9af5e606ae2232ed285aff190e711b
Centrality Token,CENNZ,0x1122b6a0e00dce0563082b6e2953f3a943855c1f
Theta Token,THETA,0x3883f5e181fccaf8410fa61e12b59bad963fb645
Fusion,FSN,0xd0352a019e9ab9d757776f532377aaebd36fd541
Enigma,ENG,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4
Substratum,SUB,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a
Nuls,NULS,0xb91318f35bdb262e9423bc7c7c2a3a93dd93c92c
Dragon,DRGN,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e
